;text
0;@juliette KAJDJDKAKAKAKA JULIETTE MULHER TU GOSTA DE UNS B.O NÉ, MAS ENFIM CHAMA A FADINHA PRA TE ENSINAR A ANDAR D… https://t.co/fmsuoxHtDF
1;"Na centauro e já vi um monte de crianças e pais/mães atrás de um skate, incluindo minha irmã 
Tá feliz fadinha??? Pq eu tô"
2;indo andar skate completamente influenciada pela fadinha e a bufoni, volto mais tarde con 3 ossos quebrados 😝
3;Gostei de um vídeo no YouTube: Rayssa Leal - prata no Street em Tóquio (coletiva do COB) https://t.co/YOGhBGZ7Iz… https://t.co/kGSvuhrM2D
4;vou dar um skate pra essa menina ja temos nossa proxima fadinha https://t.co/mhw5EdfX5t
5;O Band Esporte Clube mostrou que a medalha de prata da Rayssa Leal, a nossa fadinha, inspirou novas crianças para e… https://t.co/HHIzLKdqrF
6;@Freirejuli_ Imperatriz-Maranhao a cidade da fadinha do skate, rayssa
7;parabens fadinha agora eu quero andar d skate
8;"@arbindobardo Fausto Macedo: (4 min) ‘Fadinha do Skate’: quem tem direito ao nome? https://t.co/3g9bKHNvNe &lt;&lt;-- lin… https://t.co/8C2FczvKVu"
9;Natascha Barão: quem tem direito ao nome 'Fadinha do Skate'? https://t.co/0MqolTDJ0S
10;"Vcs sabiam na verdade que a fadinha do skate é uma grande fã do filme ""é fada!"" da Kéfera?"
11;Rayssa leal, de 13 anos, fez história e se tornou a medalhista mais jovem do Brasil. Conhecida como fadinha, ela fi… https://t.co/LqfQzZNKXA
12;Heytor ficou apaixonado na fadinha Rayssa e ta aqui me pedindo um skate 😍😍🤣
13;"1) rayssa leal, a fadinha do skate

pra começar com a perfeita da rayssa, por ela ser mais novinha, com certeza rec… https://t.co/GObLFEAsab"
14;"@CultWolverine Fadinha do Skate Corinthiana
Shen Corinthiano"
15;Efeito fadinha do skate https://t.co/UNmxOmIUtT
16;@rataborralheira @Aaandrefelipe23 @sioffi @carolmarconi mano , mas o skate começou a ter público, patrocínio por ag… https://t.co/4egsrhgies
17;Netshoes aumentou as vendas de artigos de skate em 80% após Fadinha fazer o Brasil se emocionar!
18;fui andar de skate ontem, me senti a própria fadinha
19;Sempre descriminaram a cultura do skate, foi só a fadinha ganhar, começaram a pagar pau, ela foi mais que certa em… https://t.co/2W8n8NLsMK
